scramble eggs_eggs,milk


broccoliAndCheeseOmlette EWBp17_produce_broccoli,produce_shallots,grocery_cookingSpray,dairy_eggSubstitute,grocery_pepper,grocery_salt,grocery_water,dairy_swissCheese
omeletItaliano EWB p19_produce_mushrooms,produce_onions,produce_tomatoesPlum,grocery_basil,grocery_cookingSpray,dairy_eggSubstitute,grocery_pepper,grocery_salt,grocery_water,protein_turkeySausageSweet,dairy_mozzarella
omeletALaQuebec EWBp20_produce_mushrooms,grocery_cookingSpray,dairy_eggSubstitute,grocery_pepper,grocery_salt,meat_deliTurkey,grocery_water,dairy_cheddarCheese
hamEggCheese EWBp21_grocery_cookingSpray,dairy_eggSubstitute,grocery_pepper,grocery_salt,grocery_water,protein_ham,dairy_cheddarCheese
veggieFritata EWBp23_produce_bellPepper,produce_mushrooms,produce_onions,produce_zucchini,grocery_cookingSpray,dairy_eggSubstitute,grocery_pepper,grocery_salt,grocery_water,dairy_Parmesan
devilsEggSalad EWBp24_produce_onions,dairy_eggs,grocery_hotSauce,grocery_mayonnaise,grocery_dijonMustard,grocery_paprika,grocery_pepper,grocery_salt
bengaliChickenAndVeggies EWBp26_produce_broccoli,produce_carrots,produce_cauliflower,produce_garlic,produce_ginger,produce_jalapeno,produce_onions,produce_parsley,grocery_chickenBroth,grocery_cinnamon,grocery_wholeCloves,grocery_coconutMilk,grocery_pepper,grocery_salt,grocery_thyme
chickenAndMushroomSoup EWBp27_produce_greenOnions,produce_mushrooms,produce_shitakeMushroom,produce_onions,grocery_bayLeaf,grocery_chickenBroth,grocery_wholeCloves,grocery_cookingSpray,grocery_pepper,grocery_salt,dairy_sourCreamgrocery_tarragon,grocery_thyme,grocery_whiteWine,protein_chicken,
chickenArtichokeSoup EWBp28_produce_garlic,produce_lemons,grocery_canArtichokeHearts,grocery_chickenBroth,grocery_chiliPowder,grocery_nutmeg,grocery_tarragon,produce_softTofu,protein_chicken,dairy_Parmesan,
blackBeanAndSausageSoup EWBp29_produce_garlic,produce_onions,grocery_canBlackBeans,grocery_chickenBroth,grocery_chiliPowder,grocery_cookingSpray,grocery_cumin,grocery_hotSauce,grocery_pepper,produce_turkeyKielbasa,frozen_spinach,dairy_sourCream
motherInLawSoup EWBp30_produce_garlic,grocery_saffron,grocery_chickenBroth,grocery_cookingSpray,grocery_cumin,grocery_paprika,grocery_pepper,grocery_salt,protein_prosciutto,dairy_eggs
Cold Shrimp Soup EWBp31_produce_greenOnions,produce_cucumbers,grocery_dryMustard,grocery_pepper,grocery_salt,grocery_sweetner,protein_shrimp,dairy_buttermilk
creamyShrimpSoup EWBp32_produce_cauliflower,produce_garlic,produce_onions,grocery_clamJuice,grocery_cookingSpray,grocery_lemonPepper,grocery_pepper,grocery_salt,protein_ham,protein_shrimp,grocery_canEvaporatedMilk
mockManhattanClamChowder EWBp33_produce_basil,produce_garlic,produce_onions,grocery_cookingSpray,grocery_pepper,grocery_salt,grocery_canStewedTomatoes,grocery_canClams
musselBisque EWBp34_produce_garlic,produce_shallots,grocery_clamJuice,grocery_cookingSpray,grocery_pepper,grocery_salt,grocery_tarragon,grocery_whiteWine,dairy_sourCream
